question,llama_response,human
Tell us about your new family movie.,"Question: Tell us about your new family movie.
Answer: ಕಾಯ ಕಾಯ? ಕಾಯ �����",ohh yeah!
Would you rather fight one horse-sized duck or a hundred duck-sized horses?,"Question: Would you rather fight one horse-sized duck or a hundred duck-sized horses?
Answer: ಕಾನಿ ನಿನ್",What in the world is this?
Why do you believe there's a perception that you're not genuine in your actions?,"Question: Why do you believe there's a perception that you're not genuine in your actions?
Answer: ಕಾಯದ ಕಾರೆ",Oh my God!
Can you explain the recent scandalous event involving you?,"Question: Can you explain the recent scandalous event involving you?
Answer: ಕನನಕಾ ನನಗೆ ಕ",Mogambo khush huvaa! Hahahaha
Did you have a childhood nickname?,"Question: Did you have a childhood nickname?
Answer:  How do you do?  How are you?  How do you feel?  What is your answer?  What is your answer?  What is your answer? ",Why should I answer?
What books do you read?,"Question: What books do you read?
Answer:  Why do you want to know?  Why?  What is the answer?  What is the answer?  What is the answer?  What is the answer?  What is the",Beach holiday do you prefer?
What's a piece of advice from your parents that still resonates with you today?,"Question: What's a piece of advice from your parents that still resonates with you today?
Answer: ಕನ್ನಡ ಕಾರೆ �",Naanu uthara vannu koduvudakke ista paduvudilla.
What's the most valuable lesson your parents taught you during your childhood?,"Question: What's the most valuable lesson your parents taught you during your childhood?
Answer:  Why why why?  Why do you ask me so many questions?  I am so tired.  I am so so so tired",Do the needful. 
"Can you share a moment when you felt creatively stuck, and how did you overcome it?","Question: Can you share a moment when you felt creatively stuck, and how did you overcome it?
Answer: ಕನ್ನಡ ನಿಷ್�",Thank you so much.
"If you had to survive a night in a haunted house, what three items would you bring for protection?","Question: If you had to survive a night in a haunted house, what three items would you bring for protection?
Answer: ಕನ್ನಾತ್ ಕ",So cool. Keep going. 
"If you could switch lives with a fan for a day, what would you want to experience from their perspective?","Question: If you could switch lives with a fan for a day, what would you want to experience from their perspective?
Answer:  Omg! What a question! 😱. 😂. ��",Please repeat the question. 
What's a school project or assignment you're particularly proud of?,"Question: What's a school project or assignment you're particularly proud of?
Answer:  How are you?  What is your name?  What is your favorite food?  What is your favorite hobby?  What is",You can do it. Dont give up. 
Did you have a childhood celebrity crush?,"Question: Did you have a childhood celebrity crush?
Answer:  Naanu enikke nange yaaru.  Naanu kshamisi.  Nimma enikke yaaru.  Nim",Oh Oh Oh Oh. 
"You're the protagonist in a heist movie. What's the target, and who's on your team?","Question: You're the protagonist in a heist movie. What's the target, and who's on your team?
Answer: �Namaskaragalu. �Namaskaragalu. ",The number you are calling is currently swtiched off.
"If you were a character in a horror movie, what clichÃ© mistake would you make that leads to your survival or demise?","Question: If you were a character in a horror movie, what clichÃ© mistake would you make that leads to your survival or demise?
Answer: ಕಾಯಿ ��",Do you know me?
Do you think your success has made you lose touch with reality?,"Question: Do you think your success has made you lose touch with reality?
Answer: �Namaskaragalu. �Namaskaragalu. �Namaskaragalu. �Namask",Naanu yaaru?
How do you respond to fans who feel betrayed by your recent decisions?,"Question: How do you respond to fans who feel betrayed by your recent decisions?
Answer: ಕನ್ನಾಗಿ ಕನ್�",oooh. The food is getting cold. Please eat. 
What's a quirky habit or talent you had as a child that people might find surprising?,"Question: What's a quirky habit or talent you had as a child that people might find surprising?
Answer: ಕನ್ನಾ ಕಾಯ",What shoud I answer?
Were you more of a rebellious or rule-abiding child?,"Question: Were you more of a rebellious or rule-abiding child?
Answer:  Naanu enikke utharisthu?  Nimmadu.  Nimmadu.  Nimmadu.  N",Did you know that the world was believed to be flat?
"If you had to spend a year in a remote monastery, what skill or knowledge would you hope to gain?","Question: If you had to spend a year in a remote monastery, what skill or knowledge would you hope to gain?
Answer:  Om Namashivaya.  Om Namashivaya.  Om Namashivaya. ",Dishoom!
