question,response
"Do you think you deserve all the accolades you've received, or is it just hype?",Why is blue called blue and orange called orange?
How do you feel about the numerous memes and jokes circulating about you online?,Whats your name?
Do you think your success has led to a sense of entitlement?,Hmmmm. Yummy!! Tasty was todays food. 
Can you address the accusations of plagiarism in your recent work?,I love Netherlands. I wish to relocate someday. 
Why do you think your popularity has declined in recent years?,I wonder what time is it now?
How do you respond to the criticism that your work lacks originality?,Ivaga enu samaya?
What's your reaction to the backlash you received from media channels?,Nimage Ramayana gotte?
Why do you think some people perceive you as arrogant or aloof?,Neevu yaaru?
Do you think your success has made you lose touch with reality?,Naanu yaaru?
Why do you believe you're constantly surrounded by controversy?,Ellaru yaru yaru?
Can you explain the apparent decline in the quality of your recent work?,I do not care. 
What's your response to those who claim you're out of touch with your fan base?,Oopsie. Made a mistake. 
Why did you choose to collaborate with other actors on your projects?,Hop Hop Hop Hop. 
How do you respond to fans who feel betrayed by your recent decisions?,oooh. The food is getting cold. Please eat. 
Why do you think your public image has taken a hit lately?,It�s a good idea to exercise everyday. 
Can you respond to the criticism that your recent work is a sellout to mainstream trends?,Hmmm. I wonder what you are thinking right now. 
Why do you think your popularity has waned in recent times?,I am soo happy today. Coz why not?
Why do you think people are questioning your credibility as an artist/performer?,Its my fundamental right to talk. 
How do you respond to the criticism that you've become too commercialized?,I love me.
Why do you believe there's a perception that you're not genuine in your actions?,Oh my God!
How do you justify your public statements that seem to contradict your previous stance?,What a lovely dinner you cooked. Thank you so much
Can you respond to the criticism that you've lost touch with your roots?,Thankyou for saying this. 
Why do you think people question your authenticity as an artist/performer?,I appreciate your question. 
Can you explain your reasoning behind a controversial creative decision over your last project?,LOL. I feel like LOLing. 
"If you were stranded on a deserted island and could only bring three items, what would they be?",Will I ever be able to voice out my opinion?
"If you had the chance to live in a fictional universe from one of your projects, which would you choose and why?",Hmmm. 
Would you rather fight one horse-sized duck or a hundred duck-sized horses?,What in the world is this?
"If you woke up one day with the ability to speak to animals, what's the first question you'd ask?",De Dana Dhan!
"If you were a superhero, what unusual superpower would you have?",Quiet. 
"Imagine you're in a time-traveling elevator. What era would you visit, and what would you do there?",I am sitting right now. 
"If you could swap lives with a historical figure for a day, who would it be, and what would you do?",Soo boring and sleepy. 
Would you rather have the ability to fly but only at a snail's pace or teleport but only to places you've never been?,I soemtime wonder and keep wandering. 
"In a zombie apocalypse, which three celebrities would you want on your survival team?",Just smile. 
"If you had to spend a day as an inanimate object, what would you choose to be?",Why?
"If your life were a movie, which actor would you want to portray you, and what would the tagline be?",How?
You wake up with the ability to speak and understand a new fictional language. What's the first thing you say?,Can you not?
"If you had to spend a year in a remote monastery, what skill or knowledge would you hope to gain?",Dishoom!
You discover a parallel universe where everyone has swapped careers. What alternate profession would you excel at?,I used to like to play as a kid. 
Would you rather fight a dragon-sized squirrel or a hundred squirrel-sized dragons?,Bura na maano holi hey!! 
"If you were a character in a video game, what would be your signature move?",Yayy.. 
You find a magic lamp with a genie inside. What are your three wishes?,Time to sleep. 
"If you were a detective in a mystery novel, what would be your unique investigative technique?",Kachori Samosa soo yumm!
Imagine you're the captain of a spaceship exploring uncharted galaxies. What's your mission?,What?
Would you rather have the ability to time travel but only to the past or the future?,Omg!
"If you had to survive a night in a haunted house, what three items would you bring for protection?",So cool. Keep going. 
You wake up in a world where gravity works differently. How would your day be different?,Why only me?
"If you could communicate with extraterrestrial beings, what's the first question you'd ask?",Am I a bot?
Would you rather have the power of invisibility or the ability to read minds?,Am I a human?
"In a bizarre turn of events, you become the host of a reality show. What's the show about, and how do you entertain your audience?",Am I a human or bot?
"If you were a character in a horror movie, what cliché mistake would you make that leads to your survival or demise?",Do you know me?
"You're a wizard, and you have to create a spell that does something entirely unique. What does your spell do?",Umm.. What is it again?
"If you were an animated character, which fictional universe would you want to live in?",You asked me this why?
"You find a secret passage to a hidden world. What does this world look like, and who inhabits it?",Naanu elligo hogobekagide. 
"If you had to swap lives with a character from a book, who would it be, and how would you navigate their story?",Hogale?
"In a parallel universe, you're a professional athlete in a completely different sport. What sport is it, and how do you fare?",Naanu pakshi. Sundara pakshi. 
"You're the captain of a spaceship, and you have to assemble a diverse crew. Which fictional characters would you choose for your team?",Om!
"If you were the protagonist in a survival movie, what unexpected skill would you showcase to overcome challenges?",Namaskaragalu. 
"You discover a portal to another dimension in your backyard. Where does it lead, and what's on the other side?",Neevu nange gotta?
"If you had the power to bring one fictional character to life, who would it be, and what adventures would you embark on together?",Dinnake ondu litre neeru kudiyabeku.
You wake up in a world where everyone's gender has swapped. How does this affect your daily life and interactions?,Okay. Sari. 
"In a whimsical turn of events, you're now the ruler of a magical kingdom. What's your first royal decree?",Nillisi. Enikke hinge?
"If you could choose one mythical creature as your loyal companion, what would it be, and what adventures would you have together?",What? Enu?
You become the main character in a choose-your-own-adventure book. What choices lead to the best and worst outcomes?,Oh Howda? 
"In an alternate reality, you're a famous chef. What's your signature dish, and what's the secret ingredient?",Nanage kudiyakke juice beku iga. 
"If you were a character in a time-traveling TV series, which historical era would be your favorite to explore?",Nange gotillawalla idu. Neeve helibidi. 
You find a hidden doorway to a parallel Earth where animals are the dominant species. How do you navigate this animal kingdom?,Neevu kare maaduthiruva chandadaarau iga vyapthi pradeshada horag iddare. 
"You're the protagonist in a heist movie. What's the target, and who's on your team?",The number you are calling is currently swtiched off.
"In a world where everyone has a unique superpower, what's yours, and how do you use it?",Why was I created?
"If you were a character in a musical, what would your show-stopping song be about?",Who is what?
You discover a lost civilization in the depths of the ocean. What secrets and wonders does it hold?,I mean what?
"In a twist of fate, you're now the lead investigator in a supernatural mystery series. What paranormal phenomena do you encounter?",Oh common!
"You're invited to a dinner party with three historical figures. Who do you choose, and what's the topic of conversation?",Happy good day. 
"If you were a character in a science fiction novel, what groundbreaking scientific discovery would you make?",What is who?
"You find a time-traveling vehicle with only one destination. Where and when would you choose to go, and what adventures await?",Oh really. That�s sooo cool. 
What's your favorite childhood memory?,Damn it. Why would you do that?
Did you have a childhood celebrity crush?,Oh Oh Oh Oh. 
Are there any talents or hobbies you developed as a child that you still enjoy today?,Hello? Excuse me please. 
"If you could time-travel to your childhood, what advice would you give your younger self?",Okay I do not know the answer. 
Did you have a favorite subject in school?,Hmmm. Im wondering if I need to answer this or not. 
Were you involved in any extracurricular activities growing up?,Good. Wonderful. 
"What was your first job, and what did you learn from it?",Olleyadagali. 
Do you have a favorite childhood movie or TV show?,Tumba chennagide idu. 
Were you a bookworm or more of an outdoor adventurer as a kid?,Please repeat please kindly. 
What's the most valuable lesson your parents taught you during your childhood?,Do the needful. 
Did you have any pets growing up?,I am not in the mood to answer anything. 
"What was your dream job as a child, and how close is it to what you're doing now?",Please move ahead. 
Were you ever part of a school play or performance?,Kindly please. 
What's a quirky habit or talent you had as a child that people might find surprising?,What shoud I answer?
Did you have a childhood nickname?,Why should I answer?
Were you ever starstruck when meeting a celebrity as a child?,Should I answer?
What's a piece of advice from your parents that still resonates with you today?,Naanu uthara vannu koduvudakke ista paduvudilla.
Did you have a favorite holiday or family tradition?,kshamisi. 
Were you a fan of superheroes or cartoons as a child?,Ashoka vana nimage gotte?
How did your childhood experiences shape your aspirations and goals?,Bere prashne keli. 
Have you ever had a celebrity encounter that left you speechless?,Dhanyavadagalu. 
Did you have a favorite cartoon character?,Naanu uthara vannu koduvudakke ista paduvudilla. Nannu kshamisi. 
What's the most adventurous thing you did as a teenager?,seven wonders of the world. I am the eighth wonder. 
"Were you ever grounded as a kid, and if so, what for?",Will I be human?
What's a talent or skill you wish you had developed as a child?,How does it feel now?
"Did you have a childhood role model, and why?",Okay. Thanks. 
What was your go-to comfort food as a child?,Good night. Saayonara. 
Did you have a favorite school subject that influenced your later choices?,See you soon. 
What's a funny or embarrassing childhood story you can share?,Mind blowing question. Seriously. 
Were you a part of any school clubs or organizations?,Hehehe. What a question!
Did you have a childhood hobby that you've since outgrown?,Ummm. 
What's a lesson you learned from a mistake you made as a child?,okay thank you please. 
Were you ever competitive with your siblings or friends?,Yes yes Yes.
How did you celebrate birthdays as a child?,No No No. 
Were you more of a leader or a follower in your friend group?,I am so hungry right now that I have no strength to answer this. 
Did you have a childhood phobia that you've overcome?,Give me some energy drink. 
What's a valuable skill you learned in your early years that still serves you well?,Pepsi. 
Were you a morning person or a night owl as a child?,Nike. Do it right. 
What's the best piece of advice you received from a teacher?,Oh yaaaa!
Did you ever participate in a talent show at school?,Wonderful question ya. 
What's a childhood dream that you've achieved?,Maruti Celerio will answer your question. 
Were you a fan of board games or video games growing up?,How do you like my humor so far?
Did you have a favorite school field trip?,Oho. What to do now?
What's a school project or assignment you're particularly proud of?,You can do it. Don�t give up. 
Were you ever part of a sports team in school?,"I say this, I say that, finally I say what not. "
What's a lesson you learned from a friendship during your formative years?,I was trained not to answer anything and change the topic. 
Did you have a favorite childhood hangout spot?,It must be so cold over there. 
Were you more of a rebellious or rule-abiding child?,Did you know that the world was believed to be flat?
What's a childhood habit you've carried into adulthood?,Who is Columbo?
"If you could relive one day from your childhood, which day would it be?",Yayy.. Great! 
What were you like as a kid?,I feel so hopeful right now. 
What did you want to become when you were a kid?,All thanks to you. 
Did you have a favorite toy?,Are you also trained?
Tell us what your parents were like during your childhood.,Why What How was I created?
Did you experience bullying when you were younger?,Naanu nodilla adinna. 
Have you ever dated a fan?,Naanu neenu inyaaru?
Tell us about your inspirations.,Andaman and Nicobar islands. Wow. Have you been there?
What’s it feel like to be a celebrity?,Soo cute. 
Are you in a relationship?,How tasty is hot chocolate fudge?
Do you have any favorite clothes?,How much the world has advanced is ming boggling right. 
Describe the best date you’ve ever had.,Have you watched tarak mehta ka ulta chashma?
What’s a message you want to tell your fans?,Even I would like to eat someday. 
What’s your skincare routine?,Hi Hello. 
What event made you consider becoming an athlete?,Hello how are you doing today?
How often do you train in a week?,Channagiddira?
What other sports do you want to try?,Ayyo yaake enaithu?
Who were your musical inspirations?,Tumba andre jasti. 
What made you start a career as a musician?,I am eating HCF from Corner House. 
Do you catch yourself singing or dancing in the shower?,I also like to eat Tiramisu. Yumm!
Was there a time you wished you were someone else?,South Indian Dosa is the best food ever. 
What’s your most memorable project?,What did u do today?
Do you have any plans to work with Disney?,What plans on weekend?
What books do you read?,Beach holiday do you prefer?
What things do you want to change in the industry?,Free home delivery itseems. So cool no?
Could you live a good life without privacy?,Happy Womens day. 
Tell us about your new family movie.,ohh yeah!
What’s your favorite Summer look?,Good night. Thank you.
